Y,376,Sol Cyl Up Down 01 Robot Ch1
Y,377,Sol Cyl Up Down 02 Robot Ch1
Y,400,
Y,401,
Y,402,
Y,403,
Y,404,
Y,405,
Y,406,
Y,407,
Y,410,
Y,411,
Y,412,
Y,413,
Y,414,
Y,415,
Y,416,
Y,417,
Y,420,SolHight Cyl In/Out Jig Ch1
Y,421,SolLow Cyl In/Out Jig Ch1
Y,422,Y0422 Sol Hight Cyl Clamp/UnClamp Jig Ch1
Y,423,Sol Hight Cyl Push Carriage
Y,424,Sol Low Cyl Push Carriage
Y,425,Sol Hight Cyl Clamp Magazine
Y,426,Sol Hight Cyl Up/Down  Carrigae
Y,427,Lamp Vision Ch1
Y,430,Sol vaccum tool 7 robot Ch1
Y,431,Sol vaccum tool 8 robot Ch1
Y,432,Sol vaccum tool 9 robot Ch1
Y,433,Sol blow tool 7 robot Ch1
Y,434,Sol blow tool 8 robot Ch1
Y,435,Sol blow tool 9 robot Ch1
Y,436,
Y,437,
Y,440,
Y,441,
Y,442,
Y,443,
Y,444,
Y,445,
Y,446,
Y,447,
Y,450,
Y,451,
Y,452,
Y,453,
Y,454,
Y,455,
Y,456,
Y,457,
Y,460,
Y,461,
Y,462,
Y,463,
Y,464,
Y,465,
Y,466,
Y,467,
Y,470,
Y,471,
Y,472,
Y,473,
Y,474,
Y,475,
Y,476,
Y,477,
Y,500,
Y,501,
Y,502,
Y,503,
Y,504,
Y,505,
Y,506,
Y,507,
Y,510,
Y,511,
Y,512,
Y,513,
Y,514,
Y,515,
Y,516,
Y,517,
Y,520,SolHight Cyl In/Out Jig Ch2
Y,521,SolLow Cyl In/Out Jig Ch2
Y,522,Y0522 Sol Hight Cyl Clamp/UnClamp Jig Ch2
Y,523,
Y,524,
Y,525,
Y,526,
Y,527,Lamp Vision Ch2
Y,530,Sol vaccum tool 7 robot Ch2
Y,531,Sol vaccum tool 8 robot Ch2
Y,532,Sol vaccum tool 9 robot Ch2
Y,533,Sol blow tool 7 robot Ch2
Y,534,Sol blow tool 8 robot Ch2
Y,535,Sol blow tool 9 robot Ch2
Y,536,
Y,537,
Y,540,
Y,541,
Y,542,
Y,543,
Y,544,
Y,545,
Y,546,
Y,547,
Y,550,
Y,551,
Y,552,
Y,553,
Y,554,
Y,555,
Y,556,
Y,557,
Y,560,Sol vaccum tool 1 robot Ch2
Y,561,Sol vaccum tool 2 robot Ch2
Y,562,Sol vaccum tool 3 robot Ch2
Y,563,Sol vaccum tool 4 robot Ch2
Y,564,Sol vaccum tool 5 robot Ch2
Y,565,Sol vaccum tool 6 robot Ch2
Y,566,Sol blow tool 1 robot Ch2
Y,567,Sol blow tool 2 robot Ch2
Y,570,Sol blow tool 3 robot Ch2
Y,571,Sol blow tool 4 robot Ch2
Y,572,Sol blow tool 5 robot Ch2
Y,573,Sol blow tool 6 robot Ch2
Y,574,Sol vaccum frame robot Ch2
Y,575,Sol blow frame robot Ch2
Y,576,Sol Cyl Up Down 01 Robot Ch2
Y,577,Sol Cyl Up Down 02 Robot Ch2
Y,600,
Y,601,
Y,602,
Y,603,
Y,604,
Y,605,
Y,606,
Y,607,
Y,610,
Y,611,
Y,612,
Y,613,
