Y,0,Servo Ready
Y,1,All Axis Servo ON
Y,2,Cylinder 1 up
Y,3,Cylinder 1 down
Y,4,Cylinder 2 up
Y,5,Cylinder 2 down
Y,6,Cylinder 3 up
Y,7,Cylinder 3 down
Y,10,SPARE1
Y,11,SPARE2
Y,12,SPARE3
Y,13,SPARE4
Y,14,SPARE5
Y,15,SPARE6
Y,16,SPARE7
Y,17,SPARE8
Y,20,SPARE9
Y,21,SPARE10
Y,22,SPARE11
Y,23,SPARE12
Y,24,SPARE13
Y,25,SPARE14
Y,26,SPARE15
Y,27,SPARE16
Y,30,SPARE17
Y,31,SPARE18
Y,32,SPARE19
Y,33,SPARE20
Y,34,SPARE21
Y,35,SPARE22
Y,36,SPARE23
Y,37,SPARE24
Y,40,SPARE25
Y,41,SPARE26
Y,42,SPARE27
Y,43,SPARE28
Y,44,SPARE29
Y,45,SPARE30
Y,46,SPARE31
Y,47,SPARE32
Y,50,SPARE33
Y,51,SPARE34
Y,52,SPARE35
Y,53,SPARE36
Y,54,SPARE37
Y,55,SPARE38
Y,56,SPARE39
Y,57,SPARE40
Y,60,SPARE41
Y,61,SPARE42
Y,62,SPARE43
Y,63,SPARE44
Y,64,SPARE45
Y,65,SPARE46
Y,66,SPARE47
Y,67,SPARE48
Y,70,SPARE49
Y,71,SPARE50
Y,72,SPARE51
Y,73,SPARE52
Y,74,SPARE53
Y,75,SPARE54
Y,76,SPARE55
Y,77,SPARE56
Y,100,SPARE57
Y,101,SPARE58
Y,102,SPARE59
Y,103,SPARE60
Y,104,SPARE61
Y,105,SPARE62
Y,106,SPARE63
Y,107,SPARE64
Y,110,SPARE65
Y,111,SPARE66
Y,112,SPARE67
Y,113,SPARE68
Y,114,SPARE69
Y,115,SPARE70
Y,116,SPARE71
Y,117,SPARE72
Y,120,SPARE73
Y,121,SPARE74
Y,122,SPARE75
Y,123,SPARE76
Y,124,SPARE77
Y,125,SPARE78
Y,126,SPARE79
Y,127,SPARE80
Y,130,SPARE81
Y,131,SPARE82
Y,132,SPARE83
Y,133,SPARE84
Y,134,SPARE85
Y,135,SPARE86
Y,136,SPARE87
Y,137,SPARE88
Y,140,SPARE89
Y,141,SPARE90
Y,142,SPARE91
Y,143,SPARE92
Y,144,SPARE93
Y,145,SPARE94
Y,146,SPARE95
Y,147,SPARE96
Y,150,SPARE97
Y,151,SPARE98
Y,152,SPARE99
Y,153,SPARE100
Y,154,SPARE101
Y,155,SPARE102
Y,156,SPARE103
Y,157,SPARE104
Y,160,SPARE105
Y,161,SPARE106
Y,162,SPARE107
Y,163,SPARE108
Y,164,SPARE109
Y,165,SPARE110
Y,166,SPARE111
Y,167,SPARE112
Y,170,SPARE113
Y,171,SPARE114
Y,172,SPARE115
Y,173,SPARE116
Y,174,SPARE117
Y,175,SPARE118
Y,176,SPARE119
Y,177,SPARE120
Y,200,SPARE121
Y,201,SPARE122
Y,202,SPARE123
Y,203,SPARE124
Y,204,SPARE125
Y,205,SPARE126
Y,206,SPARE127
Y,207,SPARE128
Y,210,SPARE129
Y,211,SPARE130
Y,212,SPARE131
Y,213,SPARE132
Y,214,SPARE133
Y,215,SPARE134
Y,216,SPARE135
Y,217,SPARE136
Y,220,SPARE137
Y,221,SPARE138
Y,222,SPARE139
Y,223,SPARE140
Y,224,SPARE141
Y,225,SPARE142
Y,226,SPARE143
Y,227,SPARE144
Y,230,SPARE145
Y,231,SPARE146
Y,232,SPARE147
Y,233,SPARE148
Y,234,SPARE149
Y,235,SPARE150
Y,236,SPARE151
Y,237,SPARE152
Y,240,SPARE153
Y,241,SPARE154
Y,242,SPARE155
Y,243,SPARE156
Y,244,SPARE157
Y,245,SPARE158
Y,246,SPARE159
Y,247,SPARE160
Y,250,SPARE161
Y,251,SPARE162
Y,252,SPARE163
Y,253,SPARE164
Y,254,SPARE165
Y,255,SPARE166
Y,256,SPARE167
Y,257,SPARE168
Y,260,SPARE169
Y,261,SPARE170
Y,262,SPARE171
Y,263,SPARE172
Y,264,SPARE173
Y,265,SPARE174
Y,266,SPARE175
Y,267,SPARE176
Y,270,SPARE177
Y,271,SPARE178
Y,272,SPARE179
Y,273,SPARE180
Y,274,SPARE181
Y,275,SPARE182
Y,276,SPARE183
Y,277,SPARE184
Y,300,SPARE185
Y,301,SPARE186
Y,302,SPARE187
Y,303,SPARE188
Y,304,SPARE189
Y,305,SPARE190
Y,306,SPARE191
Y,307,SPARE192
Y,310,SPARE193
Y,311,SPARE194
Y,312,SPARE195
Y,313,SPARE196
Y,314,SPARE197
Y,315,SPARE198
Y,316,SPARE199
Y,317,SPARE200
Y,320,SPARE201
Y,321,SPARE202
Y,322,SPARE203
Y,323,SPARE204
Y,324,SPARE205
Y,325,SPARE206
Y,326,SPARE207
